"variable","year","n_obs","k_used","deviance_explained","r_squared","edf"
"current",2011,173,60,0.0904846253005168,0.0756585298893195,3.75881640409424
"current",2012,159,60,0.332748793751968,0.252127894006009,18.0324605741663
"current",2013,162,60,0.0988119578486626,0.0704693263020086,5.90910500119102
"current",2014,161,60,0.104063758389846,0.0751608323184282,6.00029446527413
"current",2015,151,60,0.0617327668113208,0.0465085291235479,3.39502473060071
"current",2016,165,60,0.180756683164281,0.1276372225585,10.986202718206
"current",2017,168,60,0.0414595854170407,0.0298209148778464,3.00340123782483
"current",2018,167,60,0.0712468068454777,0.0526615227073938,4.25665772147137
"current",2019,183,60,0.224471547260775,0.16132891002231,14.7025827105907
"current",2020,179,60,0.146364380138711,0.110213314442044,8.23194648610818
"current",2021,170,60,0.0961361200665713,0.0656924259520343,6.5067350926694
"current",2022,186,60,0.0715189513044946,0.0480972384522059,5.55195325899453
"current",2023,169,60,0.0518681798201745,0.0356654345088863,3.82273529302574
"flow_velocity",2009,104,60,0.043984416709067,0.0250522504607847,3.0001206469728
"flow_velocity",2010,135,60,0.296110250653766,0.220904571742722,13.9349507243573
"flow_velocity",2011,173,60,0.453377600870923,0.379227696425768,21.5450267209633
"flow_velocity",2012,128,60,0.596591119164074,0.48536321406769,28.4483758902901
"flow_velocity",2013,132,60,0.0436724552040185,0.0288397015710599,3.00079299891167
"flow_velocity",2014,125,60,0.351830672696317,0.283860175714388,12.7691285136487
"flow_velocity",2015,102,60,0.95264913249625,0.894976803024486,56.4630352569273
"flow_velocity",2016,137,60,0.138703554207519,0.0913234116639894,8.09130120510745
"flow_velocity",2017,139,60,0.168215396885478,0.12746551487607,7.44499880884305
"flow_velocity",2018,135,60,0.371055311290744,0.276397465556376,18.5291692947954
"flow_velocity",2019,143,60,0.40332129026467,0.348146868293619,13.0192226420388
"flow_velocity",2020,143,60,0.250485905291204,0.200104626857559,9.94384663018109
"flow_velocity",2021,124,60,0.358686985957954,0.273918280748117,15.360023760897
"flow_velocity",2022,154,60,0.212030616835439,0.173304451067314,8.16721333527533
"flow_velocity",2023,124,60,0.0586846699863788,0.0263383645358248,5.08621992025126
